model,MAE,MSE,R2,Mean R2
XGBoost,0.42757594285915135,0.38143330251313523,0.6326078683372514,0.6108714179015415
GradientBoosting,0.42645894452123456,0.38223003997253474,0.6318404600599569,0.6084694111746675
DecisionTree,0.5971580868227908,0.78538840558792,0.24352299966724367,0.20234785014774376
RandomForest,0.42720436463069333,0.3864597826056902,0.6277664210283852,0.5886992950910533
XGBoost with GridSearchCV,0.4170079507417273,0.3645658723678161,0.6488543813604499,0.6234454498290712
GradientBoosting with GridSearchCV,0.4237872017012909,0.37734285879577617,0.6365477362692479,0.614781906984222
DecisionTree with GridSearchCV,0.49129817929570774,0.49010138446067725,0.5279400325521606,0.5113092176658961
RandomForest with GridSearchCV,0.44205334569110427,0.41322854042757784,0.6019830640604694,0.5834526108015742
